###############################;x
##### BASIC MODIFIER TEXT #####;x {
###############################;x
MODIFIER_ADDED;$WHERE$ gets §Y$WHAT$§! until §Y$DATE$§!, giving the following effects:\n$EFFECT$\n\n;x
TRIGMODLOST_HEADER;$MONARCHTITLE$ reports that;$;x
TRIGMOD_HEADER;$MONARCHTITLE$ reports that;;x
############################;x }
##### STATIC MODIFIERS #####;x {
############################;x
very_easy_player;Very Easy Difficulty;x
easy_player;Easy Difficulty;x
hard_player;Hard Difficulty;x
very_hard_player;Very Hard Difficulty;x
very_easy_ai;Very Easy Difficulty;x
easy_ai;Easy Difficulty;x
hard_ai;Hard Difficulty;x
very_hard_ai;Very Hard Difficulty;x
overseas;No land connection to capital;x
coastal;Coastal;x
non_coastal;Non Coastal;x
coastal_sea;Coastal Sea;x
tropical;Tropical;x
sea_zone;Sea Zone;x
land_province;Land Province;x
blockaded;Blockaded;x
no_adjacent_controlled;No Adjacent Controlled Provinces;x
core;Core;x
has_siege;Has Siege;x
occupied;Occupied;x
nationalism;Nationalism;x
infrastructure;Infrastructure;x
base_values;Base Value;x
war;War;x
war_exhaustion;War Exhaustion;x
peace;Peace;x
disarming;Forced to Disarm;x
badboy;Infamy;x
debt_default_to;Debt Default To;x
bad_debter;Bad debter;x
bad_debter_desc;Due to your realm's history of flaky economy banks will demand a higher interest on your loans;x
great_power;Great Power;x
second_power;Secondary Power;x
civ_nation;Centralized Realm;x
unciv_nation;Uncentralized Realm;x
average_literacy;Literacy;x
plurality;Popular Anxiety;x
generalised_debt_default;Generalised Debt Default;x
total_occupation;Occupied Home Provinces;x
total_blockaded;Blockaded Home Ports;x
in_bankrupcy;In bankruptcy;x
in_bankrupcy_desc;We are bankrupt!;x
#################;x }
##### CRIME #####;x {
#################;x
province_devastation_5;§OProvince Wealth:§! §rBarren (-5)§!;x
desc_province_devastation_5; ;x
province_devastation_4;§OProvince Wealth:§! §rDesolate (-4)§!;x
desc_province_devastation_4; ;x
province_devastation_3;§OProvince Wealth:§! §rPoor (-3)§!;x
desc_province_devastation_3; ;x
province_devastation_2;§OProvince Wealth:§! §rLow(-2)§!;x
desc_province_devastation_2; ;x
province_devastation_1;§OProvince Wealth:§! §WBelow Average (-1)§!;x
desc_province_devastation_1; ;x
province_wealth_0;§OProvince Wealth:§! §WAverage (+0)§!;x
desc_province_wealth_0; ;x
province_wealth_1;§OProvince Wealth:§! §WAbove Average (+1)§!;x
desc_province_wealth_1; ;x
province_wealth_2;§OProvince Wealth:§! §GHigh (+2)§!;x
desc_province_wealth_2; ;x
province_wealth_3;§OProvince Wealth:§! §GProsperous (+3)§!;x
desc_province_wealth_3; ;x
province_wealth_4;§OProvince Wealth:§! §GBountiful (+4)§!;x
desc_province_wealth_4; ;x
province_wealth_5;§OProvince Wealth:§! §GRich (+5)§!;x
desc_province_wealth_5; ;x
military_schools_effect;Recruit Generals §Wand §YRecruit Admirals §Wevent will no longer give generals with negative stats;x
alliance_dwarves_men_tag_unlock_effect;§WUnlocks the ability to form the §YFree Folk of the North §Wvia the §YAlliance of Dwarves and Men §Wmenu (requires §YRailroading §Wto be §Rturned off§W);x
##################################;x }
##### ORGANIZATION MODIFIERS #####;x {
##################################;x
alliance_of_dwarves_and_men;Alliance of Dwarves and Men;x
alliance_of_dwarves_and_men_desc;From Tolkien Gateway, Alliance of Dwarves and Men:\n\n"The Men and Dwarves in the north had coexisted peacefully ever since the ancestors of the Northmen settled in the area [the Mirkwood narrows] in the First Age. When Angband fell, multitudes of Orcs fled east reaching the lands occupied by the Dwarves and Men. The Orcs far outnumbered the Dwarves in battles but their Mannish neighbours helped them overcome the Orcs' superiority of numbers and together they were able to drive them back. Thus began a warm friendship between the two races, the Dwarves supplied them with better arms while the Men, who were fierce and skilled riders, sent scouts to look for enemy movement and there was relative peace in the region.\n\nWhen Sauron invaded Eriador in S.A. 1695, hordes of Orcs invaded the mountains again. Gundabad was taken and Ered Mithrin was raided. It was not only Orcs the Alliance fought but also other savage Men that came from the east. When Sauron was finally driven back from Eriador in S.A. 1701, the Alliance ended. The Men were heavily diminished in number and remained scattered and impoverished living in caves or the edges of the forest. The Longbeards still maintained Khazad-dûm but their communication to the Iron Hills were cut off for some time since the enemy now occupied their former lands.\n\nThe two peoples continued to occupy the same regions and be neighbours. The same kind of friendship and coexistence would be seen again centuries later, between the Men of Dale and the Dwarves of Erebor."\n\nWe are members of the Alliance of Dwarves and Men!;x
################################################;x }
##### ORGANIZATION SUPPLEMENTARY MODIFIERS #####;x {
################################################;x
province_target_alliance_men_dwarves_request_return_of_cores;;x
alliance_dwarves_men_selected_region;Alliance of Dwarves and Men Selected Region;x
alliance_dwarves_men_diplomacy_stalled;Alliance of Dwarves and Men Diplomacy Stalled;x
ai_return_cores_alliance_men_dwarves;AI Return Cores Target;x
dynamic_loc_potential_region_target;;x
dynamic_loc_potential_province_target;;x
dynamic_loc_slot_selector;;x
dynamic_loc_region_target_1;;x
dynamic_loc_region_target_2;;x
dynamic_loc_region_target_3;;x
dynamic_loc_region_target_4;;x
dynamic_loc_region_target_5;;x
dynamic_loc_region_target_6;;x
dynamic_loc_region_target_7;;x
dynamic_loc_region_target_8;;x
dynamic_loc_region_target_9;;x
dynamic_loc_region_target_10;;x
dynamic_loc_region_target_11;;x
dynamic_loc_region_target_12;;x
dynamic_loc_region_target_13;;x
dynamic_loc_region_target_14;;x
dynamic_loc_region_target_15;;x
dynamic_loc_region_target_16;;x
dynamic_loc_region_target_17;;x
