#######################;x }
##### FLAVOR NEWS #####;x {
#######################;x
EVTDESC3624_NEWS_LONG;News from Eriador as the Grey Pilgrim, known broadly as Gandalf, has been sighted visiting $COUNTRY$. His motives are unknown, but the locals spirits have been boosted in these dark times.;x
EVTDESC3624_NEWS_MEDIUM;The Grey Wanderer, known as Gandalf, has been spotted visiting $COUNTRY$. The locals spirits have been boosted in these dark times.;x
EVTDESC3624_NEWS_SHORT;The Grey Wanderer, Gandalf, has been seen visiting $COUNTRY$.;x
EVTDESC3627_NEWS_LONG;News from Rhûn as a Blue Wizard, the one known as Pallando, has been sighted visiting $COUNTRY$. His motives are unknown, but the locals show increasing support for the evil in this world.;x
EVTDESC3627_NEWS_MEDIUM;A Blue Wizard, the one known as Pallando, has been sighted visiting $COUNTRY$. The locals show increasing support for the evil in this world.;x
EVTDESC3627_NEWS_SHORT;A Blue Wizard, the one known as Pallando, has been seen visiting $COUNTRY$.;x
EVTDESC19002_NEWS_LONG;$CAPITAL$, $COUNTRY$: A Showcase of Glory has been announced by the leader of $COUNTRY$. The event will involve the $FROMCOUNTRY_ADJ$ army parading through the streets of $CAPITAL$ showing off their shiny armor, but also demonstrating new technological advancements in weaponry. Prestigious cultural paraphernalia will also be in evidence, and it cannot be denied that the $FROMCOUNTRY_ADJ$s do have a knack for literature, music and the arts. It is not yet known if foreign dignitaries will be invited to the event.;x;
EVTDESC19002_NEWS_MEDIUM;$CAPITAL$: A Showcase of Glory has been announced by $COUNTRY$. The event will involve the $FROMCOUNTRY_ADJ$ military parading through $CAPITAL$ demonstrating technological advancements in weaponry. Prestigious cultural paraphernalia will also be in evidence.;x;
EVTDESC19002_NEWS_SHORT;$CAPITAL$, $COUNTRY$: A Showcase of Glory has been announced by the government of $COUNTRY$. Sources say that it is not yet known if foreign dignitaries will be invited to the event.;x;
EVTDESC50500_NEWS_LONG;Mount Doom has erupted after being dormant for thousands of years. Historically, the volcano has only been active while Sauron has resided in Mordor. As such, many speculate that this can mean only one thing: Sauron has returned!;x
EVTDESC50500_NEWS_MEDIUM;Mount Doom has erupted after being dormant for thousands of years. Many speculate that this can mean only one thing: Sauron has returned!;x
EVTDESC50500_NEWS_SHORT;Mount Doom has erupted after being dormant for thousands of years. This can mean only one thing: Sauron has returned!;x
EVTDESC70005_NEWS_LONG;$COUNTRY$ has thrown off its tribal roots and centralised into a modern state. Her old traditions no longer serve as they used to, and she has faced increased influence from abroad. Now the country, bouyed on by her class of intellectual elite, has finally taken control of her own destiny. We may see this nation play a greater role in international affairs.;x
EVTDESC70005_NEWS_MEDIUM;$COUNTRY$ has thrown off its tribal roots and centralised into a modern state. Her old traditions no longer serve as they used to, and she has faced increased influence from abroad. We may see it play a greater role in international affairs.;x
EVTDESC70005_NEWS_SHORT;$COUNTRY$ has thrown off its tribal roots and centralised into a modern state. We may see it play a greater role in international affairs.;x
#####################;x }
##### FAKE NEWS #####;x {
#####################;x
some_fake_ANY_title_1;The Third Breakfast;x
some_fake_ANY_1;Researchers in the Shire have discovered the Third Breakfast! Hobbits everywhere are in shock and are celebrating.;x
some_fake_ANY_title_2;Salted Pork;x
